zone,state,lga,sector,ea,hhid,cropcode,phl_q02_1,phl_q03_1,phl_q04_1,phl_q05_1,phl_q06_1,phl_q07__1_1,phl_q07__2_1,phl_q07__3_1,phl_q07__4_1,phl_q07__5_1,phl_q07__6_1,phl_q02_2,phl_q03_2,phl_q04_2,phl_q05_2,phl_q06_2,phl_q07__1_2,phl_q07__2_2,phl_q07__3_2,phl_q07__4_2,phl_q07__5_2,phl_q07__6_2,phl_q02_3,phl_q03_3,phl_q04_3,phl_q05_3,phl_q06_3,phl_q07__1_3,phl_q07__2_3,phl_q07__3_3,phl_q07__4_3,phl_q07__5_3,phl_q07__6_3,phl_q08__1,phl_q09_1,phl_q10_1,phl_q11_1,phl_q12__1_1,phl_q12__2_1,phl_q12__3_1,phl_q12__4_1,phl_q12__5_1,phl_q12__6_1,phl_q08__2,phl_q09_2,phl_q10_2,phl_q11_2,phl_q12__1_2,phl_q12__2_2,phl_q12__3_2,phl_q12__4_2,phl_q12__5_2,phl_q12__6_2,phl_q08__3,phl_q09_3,phl_q10_3,phl_q11_3,phl_q12__1_3,phl_q12__2_3,phl_q12__3_3,phl_q12__4_3,phl_q12__5_3,phl_q12__6_3
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29055,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29055,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,1. YES,3,3,6,1,1,1,0,0,0,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29055,1110. RICE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,1. YES,2,4,6,1,1,1,0,0,0,1. YES,2,4,6,1,1,1,0,0,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29056,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,2,20,2,0,0,0,0,1,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29056,2220. SOYA BEANS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29057,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,1,1,5,1,1,0,0,0,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29057,1110. RICE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,1. YES,1,1,6,1,1,0,0,0,0,1. YES,2,1,6,1,1,1,0,0,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29058,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29058,1110. RICE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29058,2220. SOYA BEANS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,209. LARMURDE,2. RURAL,10,29060,1110. RICE,1. YES,2,3,5,2500,1,1,0,1,0,0,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,2,3,6,1,1,0,1,0,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29061,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,2,3,4,1,0,0,0,0,0,1. YES,2,1,6,1,0,0,0,0,0
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29061,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29062,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29063,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29064,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,1. YES,3,2,5,500,1,1,0,0,0,0,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29064,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29064,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29065,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29065,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29066,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29068,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29070,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,3,2,5,1,0,0,0,0,0,1. YES,2,2,5,1,0,0,0,0,0
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29070,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29070,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29070,1110. RICE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,1. YES,1,1,3,1,0,0,0,0,0,1. YES,2,1,4,1,0,0,0,0,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29071,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29071,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29071,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29071,1110. RICE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29072,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,2,1,3,1,0,0,0,0,0,1. YES,2,2,2,1,0,0,0,0,0
2. North East,2. Adamawa,210. MADAGALI,2. RURAL,924,29072,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,1. YES,1,1,1,1,0,0,0,0,0,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29073,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29073,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29074,1010. BEANS/COWPEA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29074,1080. MAIZE,1. YES,3,2,4,1500,1,0,0,0,0,0,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29074,1110. RICE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29076,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29076,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29077,1010. BEANS/COWPEA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29077,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29077,1080. MAIZE,2. NO,,,,,,,,,,,1. YES,4,6,5,1500,1,1,1,1,0,0,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29078,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,1. YES,4,5,5,1000,1,1,1,1,0,0,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29078,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29078,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29080,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29082,1010. BEANS/COWPEA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29082,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29082,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29082,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29082,2220. SOYA BEANS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,344,29083,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,2,3,2,1,0,0,0,0,0,1. YES,2,1,4,1,0,0,0,0,0
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29085,1010. BEANS/COWPEA,1. YES,2,4,4,2000,1,1,1,0,0,0,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29087,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29089,1080. MAIZE,1. YES,3,5,5,1500,1,1,1,1,0,0,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29089,2220. SOYA BEANS,2. NO,,,,,,,,,,,1. YES,4,5,4,1500,1,1,1,1,0,0,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29090,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,3,2,3,1,0,0,0,0,0,1. YES,2,2,2,1,0,0,0,0,0
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29090,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,1. YES,3,2,3,1,0,0,0,0,0,2. NO,,,,,,,,,,1. YES,3,2,3,1,0,0,0,0,0
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29090,1110. RICE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29091,1010. BEANS/COWPEA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29091,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29092,1060. GROUND NUT/PEANUTS,1. YES,3,6,4,1500,1,1,1,1,0,0,2. NO,,,,,,,,,,,1,4,5,4,1000,1,1,1,1,0,0,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29094,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29094,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,532,29096,1080. MAIZE,1. YES,5,1,3,1500,1,0,0,0,0,0,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29097,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29099,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29100,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29100,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29100,2220. SOYA BEANS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29101,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29101,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29103,1010. BEANS/COWPEA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29103,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29103,1070. GUINEA CORN (SORGHUM),2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29103,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29104,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,3,2,3,1,0,0,0,0,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29104,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,211. MAIHA,2. RURAL,668,29108,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29109,1010. BEANS/COWPEA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,2,10,3,0,0,0,0,1,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29109,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29109,"1121. YAM, WHITE",2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29110,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29111,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,1. YES,3,2,5,1,1,1,0,0,0,1. YES,4,2,5,1,1,1,1,0,0,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29112,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29112,"1121. YAM, WHITE",2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29113,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29115,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29116,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29116,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29118,1080. MAIZE,2. NO,,,,,,,,,,,1. YES,2,1,3,1500,1,0,0,0,1,0,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29119,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,1. YES,10,2,6,1000,0,1,1,0,0,0,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29120,1020. CASSAVA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,100,29120,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,1254,29122,1060. GROUND NUT/PEANUTS,1. YES,2,3,2,8000,1,1,0,0,0,0,1. YES,2,3,2,8000,1,0,1,0,0,0,2,,,,,,,,,,,2. NO,,,,,,,,,,1. YES,2,3,3,1,0,0,1,0,1,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,1254,29122,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,1254,29123,1060. GROUND NUT/PEANUTS,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
2. North East,2. Adamawa,212. MAYO BELWA,2. RURAL,1254,29123,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
